title,imageUrl,rating,releaseDate,genre
Bridesmaids.html,https://www.imsdb.com/posters/Bridesmaids.jpg,N/A,May 2011,Comedy
Broadcast-News.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Romance"
Broken-Embraces.html,https://www.imsdb.com/posters/Broken-Embraces.jpg,N/A,October 2009,"Drama, Romance, Thriller"
"Brothers-Bloom,-The.html","https://www.imsdb.com/posters/Brothers-Bloom,-The.jpg",N/A,September 2008,"Adventure, Comedy, Crime, Drama, Romance"
Bruce-Almighty.html,http://www.imsdb.com/images/no-poster.gif,5,N/A,"Comedy, Fantasy, Romance"
Buffy-the-Vampire-Slayer.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy, Horror"
Buried.html,https://www.imsdb.com/posters/Buried.jpg,8,September 2010,"Drama, Mystery, Thriller"
Burn-After-Reading.html,https://www.imsdb.com/posters/Burn-After-Reading.jpg,N/A,September 2008,"Comedy, Crime"
Bull-Durham.html,http://www.imsdb.com/images/no-poster.gif,N/A,June 1988,"Comedy, Drama, Romance"
"Butterfly-Effect,-The.html",http://www.imsdb.com/images/no-poster.gif,N/A,January 2004,"Drama, Thriller, Fantasy"
Burlesque.html,https://www.imsdb.com/posters/Burlesque.jpg,5,November 2010,"Drama, Musical, Romance"
Burning-Annie.html,https://www.imsdb.com/posters/Burning-Annie.jpg,N/A,February 2007,"Comedy, Drama, Romance"
Cable-Guy.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Thriller"
Capote.html,https://www.imsdb.com/posters/Capote.jpg,N/A,February 2006,"Crime, Drama"
Candle-to-Water.html,https://www.imsdb.com/posters/Candle-to-Water.jpg,N/A,November 2012,Drama
Carrie.html,https://www.imsdb.com/posters/Carrie.jpg,N/A,November 1976,"Horror, Thriller"
Case-39.html,https://www.imsdb.com/posters/Case-39.jpg,N/A,October 2010,"Horror, Mystery, Thriller"
Cars-2.html,https://www.imsdb.com/posters/Cars-2.jpg,N/A,June 2011,"Animation, Action, Adventure"
Casino.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Crime
Cast-Away.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Drama"
Catch-Me-If-You-Can.html,https://www.imsdb.com/posters/Catch-Me-If-You-Can.jpg,N/A,December 2002,"Crime, Drama"
Catwoman.html,http://www.imsdb.com/images/no-poster.gif,N/A,July 2004,"Action, Crime"
Cedar-Rapids.html,https://www.imsdb.com/posters/Cedar-Rapids.jpg,N/A,February 2011,Comedy
Cecil-B.-Demented.html,https://www.imsdb.com/posters/Cecil-B.-Demented.jpg,N/A,August 2000,"Comedy, Crime, Thriller"
"Cell,-The.html",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Horror, Sci-Fi, Thriller"
"Change-Up,-The.html","https://www.imsdb.com/posters/Change-Up,-The.jpg",N/A,August 2011,Comedy
Cellular.html,http://www.imsdb.com/images/no-poster.gif,N/A,September 2004,"Action, Crime, Drama, Mystery, Thriller"
Chaos.html,https://www.imsdb.com/posters/Chaos.jpg,N/A,December 2005,"Action, Crime, Drama, Thriller"
Charlie's-Angels.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy"
Cherry-Falls.html,https://www.imsdb.com/posters/Cherry-Falls.jpg,N/A,August 2000,"Horror, Thriller, Comedy, Mystery"
Charade.html,https://www.imsdb.com/posters/Charade.jpg,N/A,December 1963,"Comedy, Mystery, Romance, Thriller"
Changeling.html,https://www.imsdb.com/posters/Changeling.jpg,8,October 2008,"Crime, Drama, Mystery"
Chasing-Sleep.html,https://www.imsdb.com/posters/Chasing-Sleep.jpg,N/A,September 2001,"Horror, Thriller"
Chasing-Amy.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Romance"
Chronicle.html,https://www.imsdb.com/posters/Chronicle.jpg,N/A,February 2012,"Drama, Sci-Fi, Thriller"
Chinatown.html,https://www.imsdb.com/posters/Chinatown.jpg,N/A,June 1974,"Crime, Mystery, Thriller"
"Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe.html","https://www.imsdb.com/posters/Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe.jpg",N/A,December 2005,"Action, Adventure, Drama, Family, Fantasy"
